Road Name	road_id	netw_id	feat_id	feat_type	name	lang_code	netw_geo_id	ferry_type	junction_id_from	junction_id_to	stacked_netw	part_of_structure	urban	back_road	stubble	processing_status	transition	display_class	routing_class	form_of_way	freeway	ramp	carriageway_designator	road_condition	no_through_traffic	rough_road	plural_junction	restricted_access	lez_restriction	toll_restriction	construction_status	demolition_date	simple_traffic_direction	blocked_passage_start	blocked_passage_end	num_of_lanes	speed_category	speedmax_pos	speedmax_neg	speed_dynamic	speed_average_pos	speed_average_neg	average_travel_time_pos	average_travel_time_neg	tourist_route_scenic	tourist_route_national	tourist_route_regional	tourist_route_nature	tourist_route_cultural	no_pedestrian_passage	not_crossable_by_pedestrians	ownership	overtaking_lane	ft_address_area_boundary_element	ft_road_element	ft_ferry_element	ft_railway_element	geometry
Finley Blvd	00005541-4c00-4600-0000-000017f56557	00005541-4c00-0400-0000-0000000939e3	00005541-4c00-0400-0000-0000000939e3	4110	Finley Blvd	ENG	00005541-4c00-0400-0000-0000000939e3		00005541-4c00-2800-ffff-ffffd049e223	00005541-4c00-2800-ffff-ffffd049e225	false		true	0	false	1		20	1	2	false			1		false							2			3	4	50	50		72		11.2											false	true	false	false	{"type":"LineString","coordinates":[[-86.845011,33.53217],[-86.846066,33.531676],[-86.847107,33.531168]]}
Finley Blvd	00005541-4c00-4600-0000-000017f56557	00005541-4c00-0400-0000-0000000939ed	00005541-4c00-0400-0000-0000000939ed	4110	Finley Blvd	ENG	00005541-4c00-0400-0000-0000000939ed		00005541-4c00-2800-ffff-ffffd049e226	00005541-4c00-2800-ffff-ffffd049e220	false		true	0	false	1		20	1	2	false			1		false							2			3	4	50	50		74		10.6											false	true	false	false	{"type":"LineString","coordinates":[[-86.846967,33.531064],[-86.845965,33.531553],[-86.844928,33.532045]]}
Finley Blvd	00005541-4c00-4600-0000-000017f56557	00005541-4c00-0400-0000-0000001de157	00005541-4c00-0400-0000-0000001de157	4110	Finley Blvd	ENG	00005541-4c00-0400-0000-0000001de157		00005541-4c00-2800-ffff-ffffd049e225	00005541-4c00-2800-ffff-ffffd049e22f	false		true	0	false	1		20	1	2	false			1		false							2			3	4	50	50		69		2.2											false	true	false	false	{"type":"LineString","coordinates":[[-86.847107,33.531168],[-86.8472578,33.5310922],[-86.847493,33.530974]]}
Finley Blvd	00005541-4c00-4600-0000-000017f5655b	00005541-4c00-0400-0000-0000001de158	00005541-4c00-0400-0000-0000001de158	4110	Finley Blvd	ENG	00005541-4c00-0400-0000-0000001de158		00005541-4c00-2800-ffff-ffffd049e21e	00005541-4c00-2800-ffff-ffffd02a6882	false		true	0	false	1		20	1	2	false			1		false							2			3	4	50	50		73		4.2											false	true	false	false	{"type":"LineString","coordinates":[[-86.843944,33.532681],[-86.8447386,33.5323005]]}
Finley Blvd	00005541-4c00-4600-0000-000017f5655b	00005541-4c00-0400-0000-0000001de159	00005541-4c00-0400-0000-0000001de159	4110	Finley Blvd	ENG	00005541-4c00-0400-0000-0000001de159		00005541-4c00-2800-ffff-ffffd02a6882	00005541-4c00-2800-ffff-ffffd049e223	false		true	0	false	1		20	1	2	false			1		false							2			3	4	50	50		73		1.4											false	true	false	false	{"type":"LineString","coordinates":[[-86.8447386,33.5323005],[-86.845011,33.53217]]}
Finley Blvd	00005541-4c00-4600-0000-000017f5655b	00005541-4c00-0400-0000-0000001de15a	00005541-4c00-0400-0000-0000001de15a	4110	Finley Blvd	ENG	00005541-4c00-0400-0000-0000001de15a		00005541-4c00-2800-ffff-ffffd049e220	00005541-4c00-2800-ffff-ffffd02a6881	false		true	0	false	1		20	1	2	false			1		false							2			3	4	50	50		75		3.0											false	true	false	false	{"type":"LineString","coordinates":[[-86.844928,33.532045],[-86.8443524,33.5323182]]}
Finley Blvd	00005541-4c00-4600-0000-000017f5655b	00005541-4c00-0400-0000-0000001de15b	00005541-4c00-0400-0000-0000001de15b	4110	Finley Blvd	ENG	00005541-4c00-0400-0000-0000001de15b		00005541-4c00-2800-ffff-ffffd02a6881	00005541-4c00-2800-ffff-ffffd049e215	false		true	0	false	1		20	1	2	false			1		false							2			4	4	50	50		75		2.5											false	true	false	false	{"type":"LineString","coordinates":[[-86.8443524,33.5323182],[-86.843862,33.532551]]}
Finley Blvd	00005541-4c00-4600-0000-000017f5656d	00005541-4c00-0400-0000-0000001de16a	00005541-4c00-0400-0000-0000001de16a	4110	Finley Blvd	ENG	00005541-4c00-0400-0000-0000001de16a		00005541-4c00-2800-ffff-ffffd049e211	00005541-4c00-2800-ffff-ffffd02a6879	false		true	0	false	1		20	1	2	false			1		false							2			3	4	50	50		73		2.8											false	true	false	false	{"type":"LineString","coordinates":[[-86.843106,33.533101],[-86.8436318,33.5328375]]}
Finley Blvd	00005541-4c00-4600-0000-000017f5656d	00005541-4c00-0400-0000-0000001de16b	00005541-4c00-0400-0000-0000001de16b	4110	Finley Blvd	ENG	00005541-4c00-0400-0000-0000001de16b		00005541-4c00-2800-ffff-ffffd02a6879	00005541-4c00-2800-ffff-ffffd049e21e	false		true	0	false	1		20	1	2	false			1		false							2			3	4	50	50		73		1.7											false	true	false	false	{"type":"LineString","coordinates":[[-86.8436318,33.5328375],[-86.843944,33.532681]]}
Finley Blvd	00005541-4c00-4600-0000-000017f5656d	00005541-4c00-0400-0000-0000001de16d	00005541-4c00-0400-0000-0000001de16d	4110	Finley Blvd	ENG	00005541-4c00-0400-0000-0000001de16d		00005541-4c00-2800-ffff-ffffd049e215	00005541-4c00-2800-ffff-ffffd049e214	false		true	0	false	1		20	1	2	false			1		false							2			3	4	50	50		74		4.5											false	true	false	false	{"type":"LineString","coordinates":[[-86.843862,33.532551],[-86.8432351,33.5328619],[-86.843013,33.532972]]}
