id	entitytype	index_geometry	latitude	longitude	name	name_lng	name_type	road_class	route_dir	route_num	shield_code	micode	a2_code
00005541-4c00-0400-0000-0000000085ab	road_element	{"type":"LineString","coordinates":[[-86.158294,34.760758],[-86.158225,34.761259],[-86.157759,34.76253],[-86.157157,34.76402],[-86.156993,34.764481],[-86.156762,34.766237],[-86.156547,34.766851],[-86.155287,34.769744],[-86.15528,34.769764]]}	-86.15688	34.765291	County Road 17	ENG	4	5		17	8200	20060000	AL071
00005541-4c00-0400-0000-0000000085ac	road_element	{"type":"LineString","coordinates":[[-86.15528,34.769764],[-86.15515,34.77016],[-86.155067,34.770331]]}	-86.155182	34.770051	County Road 17	ENG	4	5		17	8200	20060000	AL071
00005541-4c00-0400-0000-0000000085ae	road_element	{"type":"LineString","coordinates":[[-86.146547,34.777487],[-86.146004,34.777808],[-86.143227,34.779602],[-86.141473,34.78047],[-86.14063,34.780827],[-86.140442,34.780892],[-86.140256,34.780923],[-86.138441,34.780926],[-86.138074,34.780902]]}	-86.142466	34.779707	County Road 17	ENG	4	5		17	8200	20060000	AL071
00005541-4c00-0400-0000-0000000085af	road_element	{"type":"LineString","coordinates":[[-86.129713,34.783797],[-86.12898,34.78428],[-86.128728,34.784382],[-86.128366,34.784501],[-86.127709,34.784635],[-86.126601,34.784834],[-86.126294,34.784924],[-86.126014,34.785035],[-86.125765,34.785171],[-86.125465,34.785329]]}	-86.127614	34.784615	County Road 17	ENG	4	5		17	8200	20060000	AL071
00005541-4c00-0400-0000-0000000085b0	road_element	{"type":"LineString","coordinates":[[-86.119951,34.789384],[-86.119981,34.789661],[-86.120058,34.790393]]}	-86.120005	34.789888	AL Highway 79	ENG	4	5		79	5500	20060000	AL071
00005541-4c00-0400-0000-0000000085b1	road_element	{"type":"LineString","coordinates":[[-86.120058,34.790393],[-86.120067,34.790473]]}	-86.120063	34.790433	AL Highway 79	ENG	4	5		79	5500	20060000	AL071
00005541-4c00-0400-0000-0000000085b2	road_element	{"type":"LineString","coordinates":[[-86.120067,34.790473],[-86.120258,34.792159],[-86.120445,34.793845],[-86.1208243,34.7972215]]}	-86.120446	34.793847	AL Highway 79	ENG	4	5		79	5500	20060000	AL071
00005541-4c00-0400-0000-0000000085b3	road_element	{"type":"LineString","coordinates":[[-86.1208243,34.7972215],[-86.1208592,34.7975123]]}	-86.120842	34.797367	AL Highway 79	ENG	4	5		79	5500	20060000	AL071
00005541-4c00-0400-0000-0000000085b6	road_element	{"type":"LineString","coordinates":[[-86.1208592,34.7975123],[-86.1210201,34.7991025],[-86.1210309,34.7992457],[-86.121055,34.7996025],[-86.1210684,34.8000165]]}	-86.120979	34.798763	AL Highway 79	ENG	4	5		79	5500	20060000	AL071
00005541-4c00-0400-0000-0000000085b8	road_element	{"type":"LineString","coordinates":[[-86.120304,34.8046527],[-86.120169,34.80495],[-86.119632,34.806409]]}	-86.119959	34.805527	AL Highway 79	ENG	4	5		79	5500	20060000	AL071
